Fixture,Metric,Reference Value,JavaScript Value,Absolute Error,Relative Error,Pass / Fail
"beta_approx_1_random","missionReliability","0.3212378399082929","0.3212378415602817","1.6519887680033207e-9","5.142572146777388e-9","Pass"
"beta_approx_1_random","missionFailureProbability","0.6787621600917071","0.6787621584397183","1.6519887680033207e-9","2.4338256684493457e-9","Pass"
"beta_gt_1_wearout","beta","5.415759718692387","5.41575969454425","2.414813682349859e-8","4.458864144240332e-9","Pass"
"beta_gt_1_wearout","eta","1229.281643259435","1229.2816428222504","4.37184553447878e-7","3.556423020266414e-10","Pass"
"beta_gt_1_wearout","logLikelihood","-55.10417177804791","-55.104171778047906","7.105427357601002e-15","1.2894536163651446e-16","Pass"
"beta_gt_1_wearout","b1","525.7283888683319","525.7283866902371","0.0000021780947463412303","4.143003863705622e-9","Pass"
"beta_gt_1_wearout","b5","710.3442285169044","710.3442265272004","0.000001989704060179065","2.801042058627376e-9","Pass"
"beta_gt_1_wearout","b10","811.3205628661383","811.3205610744193","0.0000017917190007210593","2.208398360312087e-9","Pass"
"beta_gt_1_wearout","b50","1148.8422702755659","1148.8422695203203","7.552455372206168e-7","6.573970655166271e-10","Pass"
"beta_gt_1_wearout","missionReliability","0.41577995005091317","0.4157799491356836","9.152295588066295e-10","2.2012354340187824e-9","Pass"
"beta_gt_1_wearout","missionFailureProbability","0.5842200499490868","0.5842200508643164","9.152295588066295e-10","1.5665836167149506e-9","Pass"
"one_failure_mixed","beta","0.7267361975409585","0.7267362245482216","2.7007263092571065e-8","3.7162402511330736e-8","Pass"
"one_failure_mixed","eta","5736.910619626193","5736.910174959549","0.00044466664348874474","7.750977363452778e-8","Pass"
"one_failure_mixed","logLikelihood","-9.027905284752949","-9.027905284752949","0","0","Pass"
"one_failure_mixed","b1","10.224647322552228","10.224648935220275","0.0000016126680471018062","1.577235865676059e-7","Pass"
"one_failure_mixed","b5","96.31677864860148","96.3167858120856","0.0000071634841134482485","7.437420783748629e-8","Pass"
"one_failure_mixed","b10","259.3391448565116","259.33915459860384","0.000009742092231590505","3.7565066534713285e-8","Pass"
"one_failure_mixed","b50","3464.5873113428456","3464.587107736808","0.0002036060377577087","5.8767760619313893e-8","Pass"
"one_failure_mixed","missionReliability","0.843855308846349","0.8438553102174509","1.3711018986839463e-9","1.624806864767381e-9","Pass"
"one_failure_mixed","missionFailureProbability","0.15614469115365104","0.15614468978254914","1.3711018986839463e-9","8.780970320244453e-9","Pass"
"three_failures_mixed","beta","1.2660251848141353","1.2660251911976954","6.38356012494512e-9","5.042206270076917e-9","Pass"
"three_failures_mixed","eta","1598.6159753321267","1598.6159720304245","0.0000033017022360581905","2.065350457524505e-9","Pass"
"three_failures_mixed","logLikelihood","-25.38031447585414","-25.38031447585414","0","0","Pass"
"three_failures_mixed","b1","42.2395344309656","42.23953511759845","6.866328519095077e-7","1.6255691762694725e-8","Pass"
"three_failures_mixed","b5","153.05761213228095","153.0576136267453","0.0000014944643567105231","9.764064236275445e-9","Pass"
"three_failures_mixed","b10","270.2608343972982","270.2608362613415","0.0000018640433268046763","6.897201109297364e-9","Pass"
"three_failures_mixed","b50","1196.785630956992","1196.785630232174","7.248179372254526e-7","6.056372323302902e-10","Pass"
"three_failures_mixed","missionReliability","0.7036206509573203","0.7036206516144474","6.571271304878223e-10","9.339224617608357e-10","Pass"
"three_failures_mixed","missionFailureProbability","0.2963793490426797","0.2963793483855526","6.571271304878223e-10","2.217182582424775e-9","Pass"
"all_failure","beta","2.174053225691548","2.174053279260262","5.356871390915785e-8","2.4640019515675885e-8","Pass"
"all_failure","eta","986.792545161667","986.7925499406219","0.000004778954917128431","4.842917531714318e-9","Pass"
"all_failure","logLikelihood","-51.98997842869643","-51.989978428696425","7.105427357601002e-15","1.3666917302814429e-16","Pass"
"all_failure","b1","118.92911330867402","118.92912008519883","0.000006776524813290052","5.697952860122611e-8","Pass"
"all_failure","b5","251.70508722819346","251.70509692038834","0.000009692194879562521","3.8506154111917765e-8","Pass"
"all_failure","b10","350.4989135825185","350.49892421940916","0.00001063689063585116","3.034785622337428e-8","Pass"
"all_failure","b50","833.7009439099852","833.7009514106733","0.00000750068807064963","8.996856877085989e-9","Pass"
"all_failure","missionReliability","0.44104675560421897","0.44104676118614583","5.5819268651724485e-9","1.2656088712239589e-8","Pass"
"all_failure","missionFailureProbability","0.558953244395781","0.5589532388138542","5.581926809661297e-9","9.986393076034949e-9","Pass"
"all_censored","zero_failure","zero_failure","Pass","","","Pass"
"identical_times","identical_times","identical_times","Pass","","","Pass"
